ID папки,Адрес установки камеры,Type,lat,lon
0,"Альметьевск, Белоглазова 131",ТКО,54.90249145,52.2897052
1,"Альметьевск, Белоглазова 151",ТКО,54.90021055,52.287217
2,"Альметьевск, Джалиля 15",ТКО,54.8969668,52.296580929047614
3,"Альметьевск, Гафиатуллина 29Б",ТКО,54.9055572,52.2709268
4,"Альметьевск, Гафиатуллина 39",ТКО,54.90640845,52.2664557
5,"Альметьевск, Гафиатуллина 45",ТКО,54.905825300000004,52.264365679708966
6,"Альметьевск, Гафиатуллина 47 , подъезд  1 ",ТКО,54.906021,52.263795
7,"Альметьевск, Гафиатуллина 47, подъезд 2 ",ТКО,54.906161,52.263831
8,"Альметьевск, Гафиатуллина 51Б",ТКО,54.9067449,52.26294162386263
9,"Альметьевск, Ленина 109",ТКО,54.8980478,52.273717094977826
10,"Альметьевск, Ленина 66",ТКО,54.900029599999996,52.290217665317925
11,"Альметьевск, Ленина 90",ТКО,54.898637699999995,52.28567360159443
12,"Альметьевск, Шевченко 80",ТКО,54.89606515,52.2883483
13,"Альметьевск, Строителей 20А",ТКО,54.90119765,52.268861836581
14,"Альметьевск, Строителей 20Б",ТКО,54.90079745,52.2674305878746
15,"Альметьевск, Строителей 20",ТКО,54.89547975,52.36576510019671
16,"Казань, Блюхера 79 ",ТКО,55.8256245,49.075149200000006
17,"Казань, Чистопольская 61А",БД,55.8197526,49.1325449
18,"Казань, Химиков 19 ",БД,55.86768025,49.01593530215419
19,"Казань, Кариева 4а к2, подъезд  1 ",БД,55.784263,49.185708
20,"Казань, Кариева 4а к2, подъезд  2 ",БД,55.784364,49.185635999999995
21,"Казань, Родины 26Е, подъезд  1 ",БД,55.763124,49.191521
22,"Казань, Родины 26Е, подъезд  2",БД,55.763421,49.191162
23,"Казань, Симонова 15, подъезд  1 ",БД,55.865815,49.086073999999996
24,"Казань, ул. Чапаева 11 ",БД,55.8970477,49.12944265777198
25,"Казань, ул. Чапаева 16",БД,55.86351345,49.0832581
26,"Казань, ул. Чапаева 16",БД,55.863294,49.083246
27,"Казань, ул. Побежимова 36, подъезд  1 ",БД,55.860504,49.082923
28,"Казань, ул. Побежимова 36, подъезд  3",БД,55.860288,49.082858
29,"Казань, ул. Побежимова 36, подъезд  4",БД,55.860290,49.082513
30,"Казань, ул. Побежимова 36, подъезд  5",БД,55.860342,49.082207
31,"Казань, ул. Побежимова 36, подъезд  6",БД,55.860388,49.081934
32,"Казань, ул. Побежимова 36, подъезд  7",БД,55.860480,49.081593
33,"Казань, ул. Побежимова 36, подъезд  2 ",БД,55.860696,49.081744
34,"Казань, ул. Побежимова 36",БД,55.860353,49.081273
35,"Казань, ул. Побежимова 36",БД,55.860095,49.082964
36,"Казань, ул. Побежимова 36",БД,55.860160,49.081534
37,"Казань, ул. Побежимова 36",БД,55.859936,49.083276
38,"Казань, ул. Побежимова 36",БД,55.860629,49.083561
39,"Казань, ул. Побежимова 36",БД,55.859917,49.082073
40,"г. Казань, Проспект Победы д. 139, корпус 3",БД,55.775768,49.216467
41,"г. Казань, ул. Вишневского, д. 49",БД,55.785174,49.151042
42,"г. Казань, Даурская улица, 24",БГ,55.763462,49.165694
43,"г. Казань, улица Рабочей Молодёжи, 6",БГ,55.779575,49.153297
44,"г. Казань, улица Рабочей Молодёжи, 18",БГ,55.780335,49.153495
45,"г. Казань, улица Рабочей Молодёжи, 22",БГ,55.781023,49.153836
46,"г. Казань, ул. Баумана, д.47",БГ,55.788171,49.120383
47,"г. Казань, улица Богатырёва, 8",БГ,55.816106500000004,49.056980870101974
48,"г. Казань, улица Рустема Яхина, 8",БГ,55.789676,49.101469
49,"г. Казань ,улица Баумана, 36",БГ,55.793019,49.109774
50,"г. Казань, улица Баумана, 9/11",БГ,55.792594,49.111489
51,"г. Казань ул. Дементьева, д. 33",БГ,55.860105,49.101806
52,"г. Казань, территория Озеро Лебяжье, 1А",БГ,55.837995,48.965271
53,"г. Казань ул. Кремлевская, д. 2 ",БГ,55.795762,49.109603
54,"г. Казань, ул. Молодежная д.8",БГ,55.862793,49.099731
55,"г. Казань,улица Николая Ершова, 4/2",БГ,55.792215,49.152228
56,"г. Казань, ул. Пушкина д.17",БГ,55.788844,49.123437
57,"г. Казань, улица Гаяза Исхаки, 1",БГ,55.789765,49.102731
